ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK2,163,0.03451,0.11667,0.05327,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,164,0.13521,0.13056,0.13284,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,165,0.06454,0.23684,0.10143,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,166,0.04587,0.1875,0.07371,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,167,0.06486,0.26471,0.10419,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,168,0.06805,0.29167,0.11035,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,169,0.08665,0.21795,0.124,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,170,0.18795,0.28148,0.2254,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,171,0.07342,0.20833,0.10858,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,172,0.12814,0.43333,0.19779,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,173,0.06393,0.39394,0.11001,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,174,0.06579,0.36111,0.11131,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,175,0.09905,0.40809,0.15941,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,176,0.07941,0.20513,0.11449,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,177,0.00444,0.03333,0.00784,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,178,0.05823,0.32906,0.09895,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,179,0.04203,0.16667,0.06714,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,180,0.02376,0.16667,0.04159,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,181,0.05411,0.36667,0.0943,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,182,0.05318,0.33333,0.09172,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,183,0.04461,0.25,0.07572,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,184,0.12435,0.19841,0.15288,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,185,0.12248,0.46296,0.19372,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,186,0.20029,0.26667,0.22876,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,187,0.06014,0.5,0.10736,3
ROUGE-1+StopWordRemoval+Stemming,TASK2,188,0.0282,0.14286,0.04711,3
